date,platform,campaign,sku,impressions,clicks,spend,orders,revenue
2025-01-20,Zepto,Organic Snacks Push,Millet Chips Peri Peri 100g,3200,128,850,8,1200
2025-01-20,Zepto,Organic Snacks Push,Quinoa Puffs Cheese 80g,2100,84,620,5,750
2025-01-20,Zepto,Organic Snacks Push,Ragi Cookies Jaggery 150g,1800,54,480,3,540
2025-01-20,Zepto,Healthy Drinks Awareness,Cold Pressed Juice Orange 250ml,2800,112,740,6,960
2025-01-20,Zepto,Healthy Drinks Awareness,Kombucha Ginger Lemon 300ml,1500,45,520,2,500
2025-01-21,Zepto,Organic Snacks Push,Millet Chips Peri Peri 100g,3500,140,900,9,1350
2025-01-21,Zepto,Organic Snacks Push,Quinoa Puffs Cheese 80g,2300,92,650,6,900
2025-01-21,Zepto,Organic Snacks Push,Ragi Cookies Jaggery 150g,1600,48,450,2,360
2025-01-21,Zepto,Healthy Drinks Awareness,Cold Pressed Juice Orange 250ml,3100,124,780,7,1120
2025-01-21,Zepto,Healthy Drinks Awareness,Kombucha Ginger Lemon 300ml,1400,42,500,2,500
2025-01-22,Zepto,Organic Snacks Push,Millet Chips Peri Peri 100g,3000,120,820,7,1050
2025-01-22,Zepto,Organic Snacks Push,Quinoa Puffs Cheese 80g,1900,76,580,4,600
2025-01-22,Zepto,Organic Snacks Push,Ragi Cookies Jaggery 150g,1700,51,460,3,540
2025-01-22,Zepto,Healthy Drinks Awareness,Cold Pressed Juice Orange 250ml,2600,104,700,5,800
2025-01-22,Zepto,Healthy Drinks Awareness,Kombucha Ginger Lemon 300ml,1300,39,490,1,250
2025-01-20,Blinkit,Snack Discovery,Millet Chips Peri Peri 100g,2400,96,640,5,750
2025-01-20,Blinkit,Snack Discovery,Quinoa Puffs Cheese 80g,1600,64,480,3,450
2025-01-21,Blinkit,Snack Discovery,Millet Chips Peri Peri 100g,2600,104,680,6,900
2025-01-21,Blinkit,Snack Discovery,Quinoa Puffs Cheese 80g,1500,60,450,3,450
2025-01-22,Blinkit,Snack Discovery,Millet Chips Peri Peri 100g,2200,88,620,4,600
2025-01-22,Blinkit,Snack Discovery,Quinoa Puffs Cheese 80g,1400,56,430,2,300
