Date,Platform,Campaign,SKU,Spend,Revenue,Clicks,Impressions
2025-01-01,Zepto,Lays Classic - Brand Search,Lays Magic Masala 26g,2400,7800,260,7200
2025-01-01,Zepto,Lays Classic - Brand Search,Lays Classic Salted 26g,1500,4200,170,4800
2025-01-01,Blinkit,KitKat Singles - Search,KitKat 2-Finger,2800,10500,310,8500
2025-01-01,Instamart,Maggi 2-Minute - Search,Maggi Masala 4-Pack,1900,1600,120,3800
2025-01-01,BigBasket Now,Haldirams Aloo Bhujia,Haldirams Aloo Bhujia 200g,800,3200,95,2600
2025-01-02,Zepto,Lays Classic - Brand Search,Lays Magic Masala 26g,2600,8200,280,7600
2025-01-02,Zepto,Lays Classic - Brand Search,Lays Classic Salted 26g,1400,3800,155,4400
2025-01-02,Blinkit,KitKat Singles - Search,KitKat 2-Finger,3100,11800,340,9200
2025-01-02,Instamart,Maggi 2-Minute - Search,Maggi Masala 4-Pack,2100,1400,130,4100
2025-01-02,BigBasket Now,Haldirams Aloo Bhujia,Haldirams Aloo Bhujia 200g,750,2900,88,2400
2025-01-03,Zepto,Kurkure - Top Placements,Kurkure Masala Munch 90g,3200,9600,350,9800
2025-01-03,Zepto,Kurkure - Top Placements,Kurkure Green Chutney,1800,6100,200,5500
2025-01-03,Blinkit,Lays Flavours - Category,Lays American Cream 50g,1200,3900,140,3900
2025-01-03,Dunzo,7UP PET 1L - Search,7UP 750ml PET,2200,2600,150,4200
2025-01-03,Instamart,Maggi 2-Minute - Search,Maggi Chicken Noodles,1500,300,90,3200
2025-01-04,Zepto,Lays Classic - Brand Search,Lays Magic Masala 26g,2500,7600,270,7400
2025-01-04,Blinkit,KitKat Singles - Search,KitKat 4-Finger,1600,4800,180,5000
2025-01-04,Instamart,KitKat Bulk - Brand,KitKat 2-Finger,1100,1700,95,2800
2025-01-04,BigBasket Now,Haldirams Aloo Bhujia,Haldirams Mixture 200g,600,2200,72,1900
2025-01-04,Dunzo,7UP PET 1L - Search,Pepsi 1L PET,1800,2000,120,3600
2025-01-05,Zepto,Lays Classic - Brand Search,Bingo Mad Angles 70g,1300,600,75,2800
2025-01-05,Zepto,Kurkure - Top Placements,Kurkure Masala Munch 90g,3400,10200,370,10200
2025-01-05,Blinkit,KitKat Singles - Search,KitKat 2-Finger,2900,10800,320,8800
2025-01-05,Instamart,Maggi 2-Minute - Search,Maggi 2-Min Masala 12pk,1000,200,60,2200
2025-01-05,Zepto,Haldirams Namkeen - Cat,Haldirams Aloo Bhujia 200g,700,800,50,1500
2025-01-06,Blinkit,Lays Flavours - Category,Lays American Cream 50g,1100,3600,130,3700
2025-01-06,Zepto,Lays Classic - Brand Search,Lays Classic Salted 26g,1600,4500,180,5000
2025-01-06,Dunzo,7UP PET 1L - Search,7UP 750ml PET,2000,2400,140,4000
2025-01-06,Instamart,Maggi 2-Minute - Search,Maggi Masala 4-Pack,2000,1500,125,3900
2025-01-06,BigBasket Now,Haldirams Aloo Bhujia,Haldirams Aloo Bhujia 200g,850,3400,100,2700
2025-01-07,Zepto,Kurkure - Top Placements,Kurkure Green Chutney,1900,6400,210,5800
2025-01-07,Blinkit,KitKat Singles - Search,KitKat 4-Finger,1700,5100,190,5300
2025-01-07,Zepto,Maggi Masala - Category,Maggi Masala 4-Pack,1400,2500,110,3400
